type,id,attributes.adjusted_odds,attributes.board_time,attributes.custom_image,attributes.description,attributes.discount_percentage,attributes.end_time,attributes.flash_sale_line_score,attributes.game_id,attributes.is_promo,attributes.line_score,attributes.odds_type,attributes.projection_type,attributes.rank,attributes.refundable,attributes.start_time,attributes.stat_type,attributes.status,attributes.tv_channel,attributes.updated_at,relationships.duration.data,relationships.league.data.type,relationships.league.data.id,relationships.new_player.data.type,relationships.new_player.data.id,relationships.projection_type.data.type,relationships.projection_type.data.id,relationships.stat_type.data.type,relationships.stat_type.data.id,attributes.hr_20,attributes.today,relationships.duration.data.type,relationships.duration.data.id
projection,2748515,,2024-07-14T16:05:05-04:00,,MIN 2nd Half,,,,750e6f55-89ef-4417-a0a9-8cd42b83bb5c,False,20.0,standard,Fantasy Score,300,True,2024-07-14T17:50:00-04:00,Fantasy Score,pre_game,,2024-07-14T16:07:24-04:00,,league,194,new_player,196780,projection_type,1,stat_type,14,True,True,duration,13
projection,2745516,,2024-07-14T16:05:05-04:00,,MIN 2nd Half,,,,750e6f55-89ef-4417-a0a9-8cd42b83bb5c,False,9.0,standard,Single Stat,300,True,2024-07-14T17:50:00-04:00,Points,pre_game,,2024-07-14T16:05:50-04:00,,league,194,new_player,196780,projection_type,2,stat_type,19,True,True,duration,13
projection,2746986,True,2024-07-14T09:00:00-04:00,,SD,,,,fbca5ca6-5ff9-4c98-b4ba-dad0648b085c,False,2.5,demon,Single Stat,300,True,2024-07-14T16:10:00-04:00,Hits+Runs+RBIs,pre_game,,2024-07-14T09:19:38-04:00,,league,2,new_player,67614,projection_type,2,stat_type,282,True,True,,
projection,2746987,True,2024-07-14T09:00:00-04:00,,SD,,,,fbca5ca6-5ff9-4c98-b4ba-dad0648b085c,False,0.5,goblin,Single Stat,301,True,2024-07-14T16:10:00-04:00,Hits+Runs+RBIs,pre_game,,2024-07-14T09:38:54-04:00,,league,2,new_player,68833,projection_type,2,stat_type,282,True,True,,
projection,2748516,,2024-07-14T16:05:05-04:00,,MIN 2nd Half,,,,750e6f55-89ef-4417-a0a9-8cd42b83bb5c,False,11.5,standard,Fantasy Score,302,True,2024-07-14T17:50:00-04:00,Fantasy Score,pre_game,,2024-07-14T16:06:02-04:00,,league,194,new_player,65208,projection_type,1,stat_type,14,True,True,duration,13
projection,2746988,True,2024-07-14T09:00:00-04:00,,SD,,,,fbca5ca6-5ff9-4c98-b4ba-dad0648b085c,False,1.5,demon,Single Stat,302,True,2024-07-14T16:10:00-04:00,Hits+Runs+RBIs,pre_game,,2024-07-14T09:19:19-04:00,,league,2,new_player,68833,projection_type,2,stat_type,282,True,True,,
projection,2745517,,2024-07-14T16:05:05-04:00,,MIN 2nd Half,,,,750e6f55-89ef-4417-a0a9-8cd42b83bb5c,False,8.5,standard,Single Stat,302,True,2024-07-14T17:50:00-04:00,Points,pre_game,,2024-07-14T16:05:50-04:00,,league,194,new_player,65208,projection_type,2,stat_type,19,True,True,duration,13
projection,2748827,,2024-07-14T16:05:18-04:00,,IND 2nd Half,,,,750e6f55-89ef-4417-a0a9-8cd42b83bb5c,False,12.5,standard,Fantasy Score,303,True,2024-07-14T17:50:00-04:00,Fantasy Score,pre_game,,2024-07-14T16:06:55-04:00,,league,194,new_player,196926,projection_type,1,stat_type,14,True,True,duration,13
projection,2746989,True,2024-07-14T09:00:00-04:00,,SD,,,,fbca5ca6-5ff9-4c98-b4ba-dad0648b085c,False,1.5,goblin,Single Stat,303,True,2024-07-14T16:10:00-04:00,Hits+Runs+RBIs,pre_game,,2024-07-14T09:59:03-04:00,,league,2,new_player,127250,projection_type,2,stat_type,282,True,True,,
projection,2748809,,2024-07-14T16:05:18-04:00,,IND 2nd Half,,,,750e6f55-89ef-4417-a0a9-8cd42b83bb5c,False,5.0,standard,Single Stat,303,True,2024-07-14T17:50:00-04:00,Points,pre_game,,2024-07-14T16:06:47-04:00,,league,194,new_player,196926,projection_type,2,stat_type,19,True,True,duration,13
projection,2745518,,2024-07-14T16:05:05-04:00,,MIN 2nd Half,,,,750e6f55-89ef-4417-a0a9-8cd42b83bb5c,False,6.5,standard,Single Stat,304,True,2024-07-14T17:50:00-04:00,Points,pre_game,,2024-07-14T16:06:14-04:00,,league,194,new_player,65207,projection_type,2,stat_type,19,True,True,duration,13
projection,2746990,True,2024-07-14T09:00:00-04:00,,SD,,,,fbca5ca6-5ff9-4c98-b4ba-dad0648b085c,False,2.5,demon,Single Stat,304,True,2024-07-14T16:10:00-04:00,Hits+Runs+RBIs,pre_game,,2024-07-14T09:19:38-04:00,,league,2,new_player,127250,projection_type,2,stat_type,282,True,True,,
projection,2748517,,2024-07-14T16:05:05-04:00,,MIN 2nd Half,,,,750e6f55-89ef-4417-a0a9-8cd42b83bb5c,False,14.5,standard,Fantasy Score,304,True,2024-07-14T17:50:00-04:00,Fantasy Score,pre_game,,2024-07-14T16:07:00-04:00,,league,194,new_player,65207,projection_type,1,stat_type,14,True,True,duration,13
projection,2748810,,2024-07-14T16:05:18-04:00,,IND 2nd Half,,,,750e6f55-89ef-4417-a0a9-8cd42b83bb5c,False,8.0,standard,Single Stat,305,True,2024-07-14T17:50:00-04:00,Points,pre_game,,2024-07-14T16:07:04-04:00,,league,194,new_player,65199,projection_type,2,stat_type,19,True,True,duration,13
projection,2746991,True,2024-07-14T09:00:00-04:00,,SD,,,,fbca5ca6-5ff9-4c98-b4ba-dad0648b085c,False,0.5,goblin,Single Stat,305,True,2024-07-14T16:10:00-04:00,Hits+Runs+RBIs,pre_game,,2024-07-14T14:17:21-04:00,,league,2,new_player,68719,projection_type,2,stat_type,282,True,True,,
projection,2748835,,2024-07-14T16:05:18-04:00,,IND 2nd Half,,,,750e6f55-89ef-4417-a0a9-8cd42b83bb5c,False,13.5,standard,Fantasy Score,305,True,2024-07-14T17:50:00-04:00,Fantasy Score,pre_game,,2024-07-14T16:06:51-04:00,,league,194,new_player,65199,projection_type,1,stat_type,14,True,True,duration,13
projection,2748518,,2024-07-14T16:05:05-04:00,,MIN 2nd Half,,,,750e6f55-89ef-4417-a0a9-8cd42b83bb5c,False,17.5,standard,Fantasy Score,306,True,2024-07-14T17:50:00-04:00,Fantasy Score,pre_game,,2024-07-14T16:07:00-04:00,,league,194,new_player,141532,projection_type,1,stat_type,14,True,True,duration,13
projection,2745519,,2024-07-14T16:05:05-04:00,,MIN 2nd Half,,,,750e6f55-89ef-4417-a0a9-8cd42b83bb5c,False,7.5,standard,Single Stat,306,True,2024-07-14T17:50:00-04:00,Points,pre_game,,2024-07-14T16:06:03-04:00,,league,194,new_player,141532,projection_type,2,stat_type,19,True,True,duration,13
projection,2746992,True,2024-07-14T09:00:00-04:00,,SD,,,,fbca5ca6-5ff9-4c98-b4ba-dad0648b085c,False,1.5,standard,Single Stat,306,True,2024-07-14T16:10:00-04:00,Hits+Runs+RBIs,pre_game,,2024-07-14T09:43:29-04:00,,league,2,new_player,68719,projection_type,2,stat_type,282,True,True,,
projection,2748811,,2024-07-14T16:05:18-04:00,,IND 2nd Half,,,,750e6f55-89ef-4417-a0a9-8cd42b83bb5c,False,5.0,standard,Single Stat,307,True,2024-07-14T17:50:00-04:00,Points,pre_game,,2024-07-14T16:06:03-04:00,,league,194,new_player,197275,projection_type,2,stat_type,19,True,True,duration,13
projection,2748838,,2024-07-14T16:05:18-04:00,,IND 2nd Half,,,,750e6f55-89ef-4417-a0a9-8cd42b83bb5c,False,14.0,standard,Fantasy Score,307,True,2024-07-14T17:50:00-04:00,Fantasy Score,pre_game,,2024-07-14T16:06:03-04:00,,league,194,new_player,197275,projection_type,1,stat_type,14,True,True,duration,13
projection,2746993,True,2024-07-14T09:00:00-04:00,,ATL,,,,fbca5ca6-5ff9-4c98-b4ba-dad0648b085c,False,0.5,goblin,Single Stat,307,True,2024-07-14T16:10:00-04:00,Hits+Runs+RBIs,pre_game,,2024-07-14T14:16:08-04:00,,league,2,new_player,127204,projection_type,2,stat_type,282,True,True,,
projection,2746994,True,2024-07-14T09:00:00-04:00,,ATL,,,,fbca5ca6-5ff9-4c98-b4ba-dad0648b085c,False,1.5,demon,Single Stat,308,True,2024-07-14T16:10:00-04:00,Hits+Runs+RBIs,pre_game,,2024-07-14T09:49:08-04:00,,league,2,new_player,127204,projection_type,2,stat_type,282,True,True,,
projection,2748812,,2024-07-14T16:05:18-04:00,,IND 2nd Half,,,,750e6f55-89ef-4417-a0a9-8cd42b83bb5c,False,5.5,standard,Single Stat,309,True,2024-07-14T17:50:00-04:00,Points,pre_game,,2024-07-14T16:06:42-04:00,,league,194,new_player,199939,projection_type,2,stat_type,19,True,True,duration,13
