,type,id,attributes.adjusted_odds,attributes.board_time,attributes.custom_image,attributes.description,attributes.end_time,attributes.flash_sale_line_score,attributes.game_id,attributes.is_promo,attributes.line_score,attributes.odds_type,attributes.projection_type,attributes.rank,attributes.refundable,attributes.start_time,attributes.stat_type,attributes.status,attributes.tv_channel,attributes.updated_at,relationships.duration.data,relationships.league.data.type,relationships.league.data.id,relationships.new_player.data.type,relationships.new_player.data.id,relationships.projection_type.data.type,relationships.projection_type.data.id,relationships.stat_type.data.type,relationships.stat_type.data.id,attributes.discount_percentage,attributes.hr_20,attributes.today,relationships.duration.data.type,relationships.duration.data.id
822,projection,2748944,,2024-07-08T19:16:00-04:00,,Ann Li,,,TNS_game_eyWaKxBHuc3XRJcdbr8Ytm1F,False,4.5,standard,Single Stat,83,True,2024-07-15T04:00:00-04:00,Break Points Won,pre_game,,2024-07-14T13:44:02-04:00,,league,5,new_player,202556,projection_type,2,stat_type,103,,True,True,,
823,projection,2748939,,2024-07-08T19:16:00-04:00,,Ann Li,,,TNS_game_eyWaKxBHuc3XRJcdbr8Ytm1F,False,21.5,standard,Single Stat,83,True,2024-07-15T04:00:00-04:00,Total Games,pre_game,,2024-07-14T13:44:02-04:00,,league,5,new_player,202556,projection_type,2,stat_type,62,,True,True,,
824,projection,2746262,True,2024-07-14T09:00:00-04:00,,ARI,,,31d5f726-cbc8-4c41-84d1-6a0d3dfd8118,False,0.5,demon,Single Stat,83,True,2024-07-14T16:10:00-04:00,Doubles,pre_game,,2024-07-14T08:55:06-04:00,,league,2,new_player,68905,projection_type,2,stat_type,639,,True,True,,
825,projection,2748927,,2024-07-08T19:16:00-04:00,,Ann Li,,,TNS_game_eyWaKxBHuc3XRJcdbr8Ytm1F,False,0.5,standard,Single Stat,83,True,2024-07-15T04:00:00-04:00,Aces,pre_game,,2024-07-14T13:44:02-04:00,,league,5,new_player,202556,projection_type,2,stat_type,61,,True,True,,
826,projection,2748916,,2024-07-08T19:16:00-04:00,,Ann Li,,,TNS_game_eyWaKxBHuc3XRJcdbr8Ytm1F,False,15.5,standard,Fantasy Score,83,True,2024-07-15T04:00:00-04:00,Fantasy Score,pre_game,,2024-07-14T13:44:02-04:00,,league,5,new_player,202556,projection_type,1,stat_type,14,,True,True,,
827,projection,2740298,,2024-07-12T17:18:00-04:00,,Regional Finals (NA),,,Regional Finals (NA)45487.75,False,4.0,standard,Single Stat,83,True,2024-07-14T18:00:00-04:00,MAPS 1-3 Kills,pre_game,https://www.twitch.tv/playapex,2024-07-12T21:47:33-04:00,,league,268,new_player,192461,projection_type,2,stat_type,331,,True,True,,
828,projection,2748940,,2024-07-08T19:16:00-04:00,,Darja Semenistaja,,,TNS_game_uBG59QV83hnh1mWnYKF0DmDI,False,21.5,standard,Single Stat,84,True,2024-07-15T04:00:00-04:00,Total Games,pre_game,,2024-07-14T13:44:02-04:00,,league,5,new_player,202557,projection_type,2,stat_type,62,,True,True,,
829,projection,2740299,,2024-07-12T17:18:00-04:00,,Regional Finals (NA),,,Regional Finals (NA)45487.75,False,3.5,standard,Single Stat,84,True,2024-07-14T18:00:00-04:00,MAPS 1-3 Kills,pre_game,https://www.twitch.tv/playapex,2024-07-12T21:48:09-04:00,,league,268,new_player,184965,projection_type,2,stat_type,331,,True,True,,
830,projection,2748928,,2024-07-08T19:16:00-04:00,,Darja Semenistaja,,,TNS_game_uBG59QV83hnh1mWnYKF0DmDI,False,2.0,standard,Single Stat,84,True,2024-07-15T04:00:00-04:00,Aces,pre_game,,2024-07-14T13:44:02-04:00,,league,5,new_player,202557,projection_type,2,stat_type,61,,True,True,,
831,projection,2740361,,2024-07-12T17:18:00-04:00,,Regional Finals (NA),,,Regional Finals (NA)45487.8194444444,False,3.5,standard,Single Stat,84,True,2024-07-14T19:40:00-04:00,MAPS 4-6 Kills,pre_game,https://www.twitch.tv/playapex,2024-07-12T21:48:07-04:00,,league,268,new_player,184965,projection_type,2,stat_type,597,,True,True,,
832,projection,2748917,,2024-07-08T19:16:00-04:00,,Darja Semenistaja,,,TNS_game_uBG59QV83hnh1mWnYKF0DmDI,False,15.5,standard,Fantasy Score,84,True,2024-07-15T04:00:00-04:00,Fantasy Score,pre_game,,2024-07-14T13:44:02-04:00,,league,5,new_player,202557,projection_type,1,stat_type,14,,True,True,,
833,projection,2746263,True,2024-07-14T09:00:00-04:00,,ARI,,,31d5f726-cbc8-4c41-84d1-6a0d3dfd8118,False,0.5,demon,Single Stat,84,True,2024-07-14T16:10:00-04:00,Doubles,pre_game,,2024-07-14T08:55:06-04:00,,league,2,new_player,152803,projection_type,2,stat_type,639,,True,True,,
834,projection,2748941,,2024-07-08T19:16:00-04:00,,Marina Bassols Ribera,,,TNS_game_4JmMVkcy4nmezKkZtYmTLRx,False,19.5,standard,Single Stat,85,True,2024-07-15T04:00:00-04:00,Total Games,pre_game,,2024-07-14T13:44:02-04:00,,league,5,new_player,202558,projection_type,2,stat_type,62,,True,True,,
835,projection,2746264,True,2024-07-14T09:00:00-04:00,,TOR,,,31d5f726-cbc8-4c41-84d1-6a0d3dfd8118,False,0.5,demon,Single Stat,85,True,2024-07-14T16:10:00-04:00,Doubles,pre_game,,2024-07-14T15:05:16-04:00,,league,2,new_player,192458,projection_type,2,stat_type,639,,True,True,,
836,projection,2748918,,2024-07-08T19:16:00-04:00,,Marina Bassols Ribera,,,TNS_game_4JmMVkcy4nmezKkZtYmTLRx,False,21.5,standard,Fantasy Score,85,True,2024-07-15T04:00:00-04:00,Fantasy Score,pre_game,,2024-07-14T13:44:02-04:00,,league,5,new_player,202558,projection_type,1,stat_type,14,,True,True,,
837,projection,2748929,,2024-07-08T19:16:00-04:00,,Marina Bassols Ribera,,,TNS_game_4JmMVkcy4nmezKkZtYmTLRx,False,2.0,standard,Single Stat,85,True,2024-07-15T04:00:00-04:00,Aces,pre_game,,2024-07-14T13:44:02-04:00,,league,5,new_player,202558,projection_type,2,stat_type,61,,True,True,,
838,projection,2740362,,2024-07-12T17:18:00-04:00,,Regional Finals (NA),,,Regional Finals (NA)45487.8194444444,False,3.0,standard,Single Stat,85,True,2024-07-14T19:40:00-04:00,MAPS 4-6 Kills,pre_game,https://www.twitch.tv/playapex,2024-07-12T23:11:22-04:00,,league,268,new_player,184966,projection_type,2,stat_type,597,,True,True,,
839,projection,2740300,,2024-07-12T17:18:00-04:00,,Regional Finals (NA),,,Regional Finals (NA)45487.75,False,3.0,standard,Single Stat,85,True,2024-07-14T18:00:00-04:00,MAPS 1-3 Kills,pre_game,https://www.twitch.tv/playapex,2024-07-12T22:58:30-04:00,,league,268,new_player,184966,projection_type,2,stat_type,331,,True,True,,
840,projection,2740363,,2024-07-12T17:18:00-04:00,,Regional Finals (NA),,,Regional Finals (NA)45487.8194444444,False,3.0,standard,Single Stat,86,True,2024-07-14T19:40:00-04:00,MAPS 4-6 Kills,pre_game,https://www.twitch.tv/playapex,2024-07-12T21:48:12-04:00,,league,268,new_player,184967,projection_type,2,stat_type,597,,True,True,,
